,category_code,p_code,p_group,kind_name_new,rank,unit,price
8565,AW_A00180,AW_A00180,풋고추,풋고추(청양고추)(10kg),상품,10kg,"40,700"
8566,AW_A00181,AW_A00181,풋고추,풋고추(청양고추)(10kg),중품,10kg,"34,200"
8567,AW_A00178,AW_A00178,풋고추,풋고추(오이맛고추)(10kg),상품,10kg,"31,700"
8568,AW_A00179,AW_A00179,풋고추,풋고추(오이맛고추)(10kg),중품,10kg,"29,700"
8569,AW_A00093,AW_A00093,붉은고추,붉은고추(10kg),상품,10kg,"76,500"
8570,AW_A00094,AW_A00094,붉은고추,붉은고추(10kg),중품,10kg,"67,500"
8571,AW_A00186,AW_A00186,피마늘,피마늘(한지)(10kg),상품,10kg,"90,000"
8572,AW_A00187,AW_A00187,피마늘,피마늘(한지)(10kg),중품,10kg,"85,000"
8573,AW_A00184,AW_A00184,피마늘,피마늘(난지)(대서)(10kg),상품,10kg,"60,000"
8574,AW_A00185,AW_A00185,피마늘,피마늘(난지)(대서)(10kg),중품,10kg,"55,000"
8575,AW_A00124,AW_A00124,양파,양파(15kg),상품,15kg,"12,800"
8576,AW_A00125,AW_A00125,양파,양파(15kg),중품,15kg,"11,800"
8577,AW_A00194,AW_A00194,양파,햇양파(15kg),상품,15kg,
8578,AW_A00195,AW_A00195,양파,햇양파(15kg),중품,15kg,
8579,AW_A00044,AW_A00044,파,대파(1kg),상품,1kg,"1,400"
8580,AW_A00045,AW_A00045,파,대파(1kg),중품,1kg,"1,000"
8581,AW_A00141,AW_A00141,파,쪽파(1kg),상품,1kg,"4,000"
8582,AW_A00142,AW_A00142,파,쪽파(1kg),중품,1kg,"3,500"
8583,AW_A00108,AW_A00108,생강,생강(국산)(10kg),상품,10kg,"33,000"
8584,AW_A00109,AW_A00109,생강,생강(국산)(10kg),중품,10kg,"23,000"
8585,AW_A00110,AW_A00110,생강,생강(수입)(10kg),중품,10kg,"45,000"
8586,AW_A00070,AW_A00070,미나리,미나리(7.5kg),상품,7.5kg,"31,300"
8587,AW_A00071,AW_A00071,미나리,미나리(7.5kg),중품,7.5kg,"21,300"
8588,AW_A00031,AW_A00031,깻잎,깻잎(2kg),상품,2kg,"25,000"
8589,AW_A00032,AW_A00032,깻잎,깻잎(2kg),중품,2kg,"21,000"
8590,AW_A00188,AW_A00188,피망,피망(청)(10kg),상품,10kg,"61,500"
8591,AW_A00189,AW_A00189,피망,피망(청)(10kg),중품,10kg,"57,000"
8592,AW_A00160,AW_A00160,파프리카,파프리카(5kg),상품,5kg,"23,700"
8593,AW_A00161,AW_A00161,파프리카,파프리카(5kg),중품,5kg,"20,700"
8594,AW_A00057,AW_A00057,멜론,멜론(8kg),상품,8kg,"33,000"
